Shuttle_Size_cbm,Pump_Size_m3ph,Year,New_Shuttles,Total_Shuttles,Annual_Calls,Annual_Cycles,Supply_m3,Demand_m3,Cycles_Available,Utilization_Rate,CAPEX_Shuttle_USDm,CAPEX_Pump_USDm,CAPEX_Tank_USDm,CAPEX_Total_USDm,FixedOPEX_Shuttle_USDm,FixedOPEX_Pump_USDm,FixedOPEX_Tank_USDm,FixedOPEX_Total_USDm,VariableOPEX_Shuttle_USDm,VariableOPEX_Pump_USDm,VariableOPEX_Tank_USDm,VariableOPEX_Total_USDm,Total_Year_Cost_Discounted_USDm,Discount_Factor,Annualized_CAPEX_Shuttle_USDm,Annualized_CAPEX_Pump_USDm,Annualized_CAPEX_Tank_USDm,Annualized_CAPEX_Total_USDm
500,400,2030,5,5,600.0,6000.0,3000000.0,3000000.0,7164.1791,0.8375,11.4955,0.9798,0.0,12.4753,0.5748,0.049,0.0,0.6238,1.7683,0.1083,0.0,1.8765,14.9756,1.0,1.0609,0.0904,0.0,1.1513
500,400,2031,2,7,864.0,8640.0,4320000.0,4320000.0,10029.8507,0.861429,4.2974,0.3663,0.0,4.6637,0.752,0.0641,0.0,0.8161,2.3797,0.1457,0.0,2.5254,8.0052,0.9346,1.4853,0.1266,0.0,1.6119
500,400,2032,1,8,1140.0,11400.0,5700000.0,5700000.0,11462.6866,0.994531,2.0081,0.1712,0.0,2.1793,0.8032,0.0685,0.0,0.8717,2.9345,0.1797,0.0,3.1142,6.1652,0.8734,1.6975,0.1447,0.0,1.8421
500,400,2033,2,10,1416.0,14160.0,7080000.0,7080000.0,14328.3582,0.98825,3.7535,0.3199,0.0,4.0734,0.9384,0.08,0.0,1.0184,3.4065,0.2086,0.0,3.6151,8.7069,0.8163,2.1218,0.1808,0.0,2.3027
500,400,2034,2,12,1680.0,16800.0,8400000.0,8400000.0,17194.0299,0.977083,3.5079,0.299,0.0,3.8069,1.0524,0.0897,0.0,1.1421,3.7772,0.2313,0.0,4.0085,8.9575,0.7629,2.5462,0.217,0.0,2.7632
500,400,2035,2,14,1944.0,19440.0,9720000.0,9720000.0,20059.7015,0.969107,3.2785,0.2794,0.0,3.5579,1.1475,0.0978,0.0,1.2453,4.0848,0.2501,0.0,4.335,9.1381,0.713,2.9705,0.2532,0.0,3.2237
500,400,2036,2,16,2220.0,22200.0,11100000.0,11100000.0,22925.3731,0.968359,3.064,0.2611,0.0,3.3251,1.2256,0.1045,0.0,1.33,4.3596,0.267,0.0,4.6266,9.2817,0.6663,3.3949,0.2894,0.0,3.6843
500,400,2037,2,18,2496.0,24960.0,12480000.0,12480000.0,25791.0448,0.967778,2.8635,0.2441,0.0,3.1076,1.2886,0.1098,0.0,1.3984,4.5809,0.2805,0.0,4.8615,9.3675,0.6227,3.8193,0.3255,0.0,4.1448
500,400,2038,2,20,2760.0,27600.0,13800000.0,13800000.0,28656.7164,0.963125,2.6762,0.2281,0.0,2.9043,1.3381,0.114,0.0,1.4521,4.7341,0.2899,0.0,5.024,9.3804,0.582,4.2436,0.3617,0.0,4.6053
500,400,2039,2,22,3024.0,30240.0,15120000.0,15120000.0,31522.3881,0.959318,2.5011,0.2132,0.0,2.7143,1.3756,0.1172,0.0,1.4929,4.8476,0.2969,0.0,5.1444,9.3516,0.5439,4.668,0.3979,0.0,5.0659
