Shuttle_Size_cbm,Pump_Size_m3ph,Year,New_Shuttles,Total_Shuttles,Annual_Calls,Annual_Cycles,Supply_m3,Demand_m3,Cycles_Available,Utilization_Rate,CAPEX_Shuttle_USDm,CAPEX_Pump_USDm,CAPEX_Tank_USDm,CAPEX_Total_USDm,FixedOPEX_Shuttle_USDm,FixedOPEX_Pump_USDm,FixedOPEX_Tank_USDm,FixedOPEX_Total_USDm,VariableOPEX_Shuttle_USDm,VariableOPEX_Pump_USDm,VariableOPEX_Tank_USDm,VariableOPEX_Total_USDm,Total_Year_Cost_Discounted_USDm,Discount_Factor,Annualized_CAPEX_Shuttle_USDm,Annualized_CAPEX_Pump_USDm,Annualized_CAPEX_Tank_USDm,Annualized_CAPEX_Total_USDm
5000,400,2030,3,3,600.0,600.0,3000000.0,3000000.0,992.8296,0.604333,38.7863,1.5445,0.0,40.3309,1.9393,0.0772,0.0,2.0165,0.772,0.2166,0.0,0.9885,43.336,1.0,3.6612,0.1458,0.0,3.807
5000,400,2031,1,4,864.0,864.0,4320000.0,4320000.0,1323.7728,0.65268,12.083,0.4812,0.0,12.5641,2.4166,0.0962,0.0,2.5128,1.0389,0.2915,0.0,1.3304,16.4073,0.9346,4.8815,0.1944,0.0,5.0759
5000,400,2032,2,6,1140.0,1140.0,5700000.0,5700000.0,1985.6591,0.574117,22.585,0.8994,0.0,23.4844,3.3877,0.1349,0.0,3.5227,1.2811,0.3594,0.0,1.6405,28.6476,0.8734,7.3223,0.2916,0.0,7.6139
5000,400,2033,1,7,1416.0,1416.0,7080000.0,7080000.0,2316.6023,0.61124,10.5537,0.4203,0.0,10.974,3.6938,0.1471,0.0,3.8409,1.4872,0.4172,0.0,1.9044,16.7193,0.8163,8.5427,0.3402,0.0,8.8829
5000,400,2034,1,8,1680.0,1680.0,8400000.0,8400000.0,2647.5455,0.63455,9.8633,0.3928,0.0,10.2561,3.9453,0.1571,0.0,4.1024,1.649,0.4626,0.0,2.1116,16.4701,0.7629,9.7631,0.3888,0.0,10.1519
5000,400,2035,1,9,1944.0,1944.0,9720000.0,9720000.0,2978.4887,0.65268,9.218,0.3671,0.0,9.5851,4.1481,0.1652,0.0,4.3133,1.7833,0.5003,0.0,2.2836,16.182,0.713,10.9835,0.4374,0.0,11.4209
5000,400,2036,2,11,2220.0,2220.0,11100000.0,11100000.0,3640.3751,0.609827,17.23,0.6861,0.0,17.9161,4.7382,0.1887,0.0,4.9269,1.9033,0.5339,0.0,2.4372,25.2803,0.6663,13.4242,0.5346,0.0,13.9588
5000,400,2037,1,12,2496.0,2496.0,12480000.0,12480000.0,3971.3183,0.628507,8.0514,0.3206,0.0,8.372,4.8308,0.1924,0.0,5.0232,1.9999,0.5611,0.0,2.561,15.9562,0.6227,14.6446,0.5832,0.0,15.2278
5000,400,2038,1,13,2760.0,2760.0,13800000.0,13800000.0,4302.2614,0.641523,7.5247,0.2996,0.0,7.8243,4.891,0.1948,0.0,5.0858,2.0668,0.5798,0.0,2.6466,15.5567,0.582,15.865,0.6318,0.0,16.4968
5000,400,2039,1,14,3024.0,3024.0,15120000.0,15120000.0,4633.2046,0.65268,7.0324,0.28,0.0,7.3124,4.9227,0.196,0.0,5.1187,2.1163,0.5937,0.0,2.71,15.1412,0.5439,17.0854,0.6804,0.0,17.7658
