Shuttle_Size_cbm,Pump_Size_m3ph,Year,New_Shuttles,Total_Shuttles,Annual_Calls,Annual_Cycles,Supply_m3,Demand_m3,Cycles_Available,Utilization_Rate,CAPEX_Shuttle_USDm,CAPEX_Pump_USDm,CAPEX_Tank_USDm,CAPEX_Total_USDm,FixedOPEX_Shuttle_USDm,FixedOPEX_Pump_USDm,FixedOPEX_Tank_USDm,FixedOPEX_Total_USDm,VariableOPEX_Shuttle_USDm,VariableOPEX_Pump_USDm,VariableOPEX_Tank_USDm,VariableOPEX_Total_USDm,Total_Year_Cost_Discounted_USDm,Discount_Factor,Annualized_CAPEX_Shuttle_USDm,Annualized_CAPEX_Pump_USDm,Annualized_CAPEX_Tank_USDm,Annualized_CAPEX_Total_USDm
5000,400,2030,4,4,600.0,600.0,3000000.0,3000000.0,990.9166,0.6055,51.7151,2.0594,0.0,53.7745,2.5858,0.103,0.0,2.6887,2.6487,0.2166,0.0,2.8653,59.3286,1.0,4.8815,0.1944,0.0,5.0759
5000,400,2031,2,6,864.0,864.0,4320000.0,4320000.0,1486.3749,0.58128,24.1659,0.9623,0.0,25.1283,3.6249,0.1443,0.0,3.7692,3.5647,0.2915,0.0,3.8561,32.7536,0.9346,7.3223,0.2916,0.0,7.6139
5000,400,2032,1,7,1140.0,1140.0,5700000.0,5700000.0,1734.104,0.6574,11.2925,0.4497,0.0,11.7422,3.9524,0.1574,0.0,4.1098,4.3957,0.3594,0.0,4.7551,20.607,0.8734,8.5427,0.3402,0.0,8.8829
5000,400,2033,2,9,1416.0,1416.0,7080000.0,7080000.0,2229.5623,0.635102,21.1075,0.8405,0.0,21.948,4.7492,0.1891,0.0,4.9383,5.1027,0.4172,0.0,5.5199,32.4062,0.8163,10.9835,0.4374,0.0,11.4209
5000,400,2034,2,11,1680.0,1680.0,8400000.0,8400000.0,2725.0206,0.616509,19.7266,0.7855,0.0,20.5122,5.4248,0.216,0.0,5.6408,5.658,0.4626,0.0,6.1206,32.2736,0.7629,13.4242,0.5346,0.0,13.9588
5000,400,2035,1,12,1944.0,1944.0,9720000.0,9720000.0,2972.7498,0.65394,9.218,0.3671,0.0,9.5851,5.5308,0.2202,0.0,5.7511,6.1188,0.5003,0.0,6.6191,21.9553,0.713,14.6446,0.5832,0.0,15.2278
5000,400,2036,2,14,2220.0,2220.0,11100000.0,11100000.0,3468.2081,0.6401,17.23,0.6861,0.0,17.9161,6.0305,0.2401,0.0,6.2706,6.5304,0.5339,0.0,7.0643,31.2511,0.6663,17.0854,0.6804,0.0,17.7658
5000,400,2037,2,16,2496.0,2496.0,12480000.0,12480000.0,3963.6664,0.62972,16.1028,0.6412,0.0,16.744,6.4411,0.2565,0.0,6.6976,6.8619,0.5611,0.0,7.423,30.8646,0.6227,19.5262,0.7776,0.0,20.3037
5000,400,2038,1,17,2760.0,2760.0,13800000.0,13800000.0,4211.3955,0.655365,7.5247,0.2996,0.0,7.8243,6.396,0.2547,0.0,6.6507,7.0913,0.5798,0.0,7.6711,22.1461,0.582,20.7466,0.8262,0.0,21.5727
5000,400,2039,2,19,3024.0,3024.0,15120000.0,15120000.0,4706.8538,0.642467,14.0648,0.5601,0.0,14.6249,6.6808,0.266,0.0,6.9468,7.2613,0.5937,0.0,7.855,29.4268,0.5439,23.1873,0.9234,0.0,24.1107
5000,400,2040,1,20,3300.0,3300.0,16500000.0,16500000.0,4954.583,0.66605,6.5723,0.2617,0.0,6.8341,6.5723,0.2617,0.0,6.8341,7.4057,0.6055,0.0,8.0112,21.6793,0.5083,24.4077,0.972,0.0,25.3797
5000,400,2041,2,22,3576.0,3576.0,17880000.0,17880000.0,5450.0413,0.656142,12.2847,0.4892,0.0,12.7739,6.7566,0.2691,0.0,7.0257,7.5001,0.6132,0.0,8.1133,27.9129,0.4751,26.8485,1.0692,0.0,27.9176
5000,400,2042,2,24,3840.0,3840.0,19200000.0,19200000.0,5945.4996,0.645867,11.4811,0.4572,0.0,11.9383,6.8886,0.2743,0.0,7.163,7.5269,0.6154,0.0,8.1423,27.2435,0.444,29.2893,1.1664,0.0,30.4556
5000,400,2043,1,25,4104.0,4104.0,20520000.0,20520000.0,6193.2287,0.662659,5.365,0.2136,0.0,5.5786,6.7062,0.2671,0.0,6.9733,7.5181,0.6147,0.0,8.1328,20.6847,0.415,30.5096,1.2149,0.0,31.7246
5000,400,2044,2,27,4380.0,4380.0,21900000.0,21900000.0,6688.687,0.654837,10.028,0.3993,0.0,10.4273,6.7689,0.2696,0.0,7.0385,7.4988,0.6131,0.0,8.1119,25.5777,0.3878,32.9504,1.3121,0.0,34.2626
5000,400,2045,2,29,4656.0,4656.0,23280000.0,23280000.0,7184.1453,0.648094,9.372,0.3732,0.0,9.7452,6.7947,0.2706,0.0,7.0653,7.4498,0.6091,0.0,8.0589,24.8694,0.3624,35.3912,1.4093,0.0,36.8005
5000,400,2046,1,30,4920.0,4920.0,24600000.0,24600000.0,7431.8745,0.662013,4.3794,0.1744,0.0,4.5538,6.5691,0.2616,0.0,6.8307,7.3572,0.6016,0.0,7.9588,19.3433,0.3387,36.6116,1.4579,0.0,38.0695
5000,400,2047,2,32,5184.0,5184.0,25920000.0,25920000.0,7927.3328,0.65394,8.1858,0.326,0.0,8.5118,6.5487,0.2608,0.0,6.8095,7.2448,0.5924,0.0,7.8372,23.1585,0.3166,39.0523,1.5551,0.0,40.6075
5000,400,2048,2,34,5460.0,5460.0,27300000.0,27300000.0,8422.7911,0.648241,7.6503,0.3046,0.0,7.955,6.5028,0.259,0.0,6.7617,7.1314,0.5831,0.0,7.7145,22.4312,0.2959,41.4931,1.6523,0.0,43.1454
5000,400,2049,1,35,5736.0,5736.0,28680000.0,28680000.0,8670.5202,0.661552,3.5749,0.1424,0.0,3.7173,6.2561,0.2491,0.0,6.5052,7.0017,0.5725,0.0,7.5742,17.7967,0.2765,42.7135,1.7009,0.0,44.4144
5000,400,2050,2,37,6000.0,6000.0,30000000.0,30000000.0,9165.9785,0.654595,6.6821,0.2661,0.0,6.9482,6.1809,0.2461,0.0,6.4271,6.8449,0.5597,0.0,7.4045,20.7798,0.2584,45.1543,1.7981,0.0,46.9524
5000,600,2030,4,4,600.0,600.0,3000000.0,3000000.0,1137.7104,0.527375,51.7151,2.3134,0.0,54.0285,2.5858,0.1157,0.0,2.7014,2.6487,0.2166,0.0,2.8653,59.5952,1.0,4.8815,0.2184,0.0,5.0999
5000,600,2031,1,5,864.0,864.0,4320000.0,4320000.0,1422.1379,0.607536,12.083,0.5405,0.0,12.6235,3.0207,0.1351,0.0,3.1559,3.5647,0.2915,0.0,3.8561,19.6355,0.9346,6.1019,0.273,0.0,6.3749
5000,600,2032,2,7,1140.0,1140.0,5700000.0,5700000.0,1990.9931,0.572579,22.585,1.0103,0.0,23.5953,3.9524,0.1768,0.0,4.1292,4.3957,0.3594,0.0,4.7551,32.4795,0.8734,8.5427,0.3821,0.0,8.9248
5000,600,2033,1,8,1416.0,1416.0,7080000.0,7080000.0,2275.4207,0.622302,10.5537,0.4721,0.0,11.0258,4.2215,0.1888,0.0,4.4103,5.1027,0.4172,0.0,5.5199,20.9561,0.8163,9.7631,0.4367,0.0,10.1998
5000,600,2034,1,9,1680.0,1680.0,8400000.0,8400000.0,2559.8483,0.656289,9.8633,0.4412,0.0,10.3045,4.4385,0.1985,0.0,4.637,5.658,0.4626,0.0,6.1206,21.0622,0.7629,10.9835,0.4913,0.0,11.4748
5000,600,2035,2,11,1944.0,1944.0,9720000.0,9720000.0,3128.7035,0.621344,18.4361,0.8247,0.0,19.2608,5.0699,0.2268,0.0,5.2967,6.1188,0.5003,0.0,6.6191,31.1766,0.713,13.4242,0.6005,0.0,14.0247
5000,600,2036,1,12,2220.0,2220.0,11100000.0,11100000.0,3413.1311,0.650429,8.615,0.3854,0.0,9.0004,5.169,0.2312,0.0,5.4002,6.5304,0.5339,0.0,7.0643,21.4649,0.6663,14.6446,0.6551,0.0,15.2997
