Shuttle_Size_cbm,Pump_Size_m3ph,Call_Duration_hr,Cycle_Duration_hr,Trips_per_Call,Shore_Loading_hr,Travel_Outbound_hr,Travel_Return_hr,Setup_Inbound_hr,Setup_Outbound_hr,Pumping_Per_Vessel_hr,Pumping_Total_hr,Basic_Cycle_Duration_hr,Annual_Cycles_Max,Vessels_per_Trip,Annual_Supply_m3,Ships_Per_Year,Time_Utilization_Ratio_percent,NPC_Total_USDm,NPC_Shuttle_CAPEX_USDm,NPC_Bunkering_CAPEX_USDm,NPC_Terminal_CAPEX_USDm,NPC_Shuttle_fOPEX_USDm,NPC_Bunkering_fOPEX_USDm,NPC_Terminal_fOPEX_USDm,NPC_Shuttle_vOPEX_USDm,NPC_Bunkering_vOPEX_USDm,NPC_Terminal_vOPEX_USDm,Annuity_Factor,Annualized_Cost_USDm_per_year,Annualized_CAPEX_USDm_per_year,Annualized_FixedOPEX_USDm_per_year,Annualized_VariableOPEX_USDm_per_year,Total_Supply_20yr_ton,LCOAmmonia_USD_per_ton
500,400,52.5,5.5833,10.0,0.3333,1.0,1.0,1.0,1.0,1.25,1.25,5.25,1432.84,1,716418.0,143.28,100.0,243.51,56.51,4.82,42.52,25.37,2.16,14.79,90.6,5.55,1.18,10.8355,22.47,9.58,3.91,8.98,235620000.0,1.03
500,600,48.3333,5.1667,10.0,0.3333,1.0,1.0,1.0,1.0,0.8333,0.8333,4.8333,1548.39,1,774194.0,154.84,100.0,239.15,52.42,5.92,42.52,23.52,2.65,14.79,90.6,5.55,1.18,10.8355,22.07,9.31,3.78,8.98,235620000.0,1.01
500,800,46.25,4.9583,10.0,0.3333,1.0,1.0,1.0,1.0,0.625,0.625,4.625,1613.45,1,806723.0,161.34,100.0,238.3,50.72,7.12,42.52,22.64,3.18,14.79,90.6,5.55,1.18,10.8355,21.99,9.26,3.75,8.98,235620000.0,1.01
500,1000,45.0,4.8333,10.0,0.3333,1.0,1.0,1.0,1.0,0.5,0.5,4.5,1655.17,1,827586.0,165.52,100.0,237.99,49.34,8.29,42.52,22.01,3.7,14.79,90.6,5.55,1.18,10.8355,21.96,9.24,3.74,8.98,235620000.0,1.01
500,1200,44.1667,4.75,10.0,0.3333,1.0,1.0,1.0,1.0,0.4167,0.4167,4.4167,1684.21,1,842105.0,168.42,100.0,238.24,48.29,9.45,42.52,21.63,4.23,14.79,90.6,5.55,1.18,10.8355,21.99,9.25,3.75,8.98,235620000.0,1.01
500,1400,43.5714,4.6905,10.0,0.3333,1.0,1.0,1.0,1.0,0.3571,0.3571,4.3571,1705.58,1,852792.0,170.56,100.0,239.7,48.07,10.73,42.52,21.46,4.79,14.79,90.6,5.55,1.18,10.8355,22.12,9.35,3.79,8.98,235620000.0,1.02
500,1600,43.125,4.6458,10.0,0.3333,1.0,1.0,1.0,1.0,0.3125,0.3125,4.3125,1721.97,1,860987.0,172.2,100.0,240.38,47.27,11.86,42.52,21.27,5.34,14.79,90.6,5.55,1.18,10.8355,22.18,9.38,3.82,8.98,235620000.0,1.02
500,1800,42.7778,4.6111,10.0,0.3333,1.0,1.0,1.0,1.0,0.2778,0.2778,4.2778,1734.94,1,867470.0,173.49,100.0,241.53,46.94,13.07,42.52,21.02,5.85,14.79,90.6,5.55,1.18,10.8355,22.29,9.46,3.85,8.98,235620000.0,1.03
500,2000,42.5,4.5833,10.0,0.3333,1.0,1.0,1.0,1.0,0.25,0.25,4.25,1745.45,1,872727.0,174.55,100.0,242.98,46.75,14.31,42.52,20.88,6.39,14.79,90.6,5.55,1.18,10.8355,22.42,9.56,3.88,8.98,235620000.0,1.03
1000,400,32.5,7.1667,5.0,0.6667,1.0,1.0,1.0,1.0,2.5,2.5,6.5,1116.28,1,1116279.0,223.26,100.0,218.24,61.49,3.86,54.28,27.73,1.74,15.47,46.87,5.55,1.23,10.8355,20.14,11.04,4.15,4.95,235620000.0,0.93
1000,600,28.3333,6.3333,5.0,0.6667,1.0,1.0,1.0,1.0,1.6667,1.6667,5.6667,1263.16,1,1263158.0,252.63,100.0,196.26,54.53,4.32,42.52,24.55,1.95,14.79,46.87,5.55,1.18,10.8355,18.11,9.36,3.81,4.95,235620000.0,0.83
1000,800,26.25,5.9167,5.0,0.6667,1.0,1.0,1.0,1.0,1.25,1.25,5.25,1352.11,1,1352113.0,270.42,100.0,194.54,52.56,5.03,42.52,23.76,2.27,14.79,46.87,5.55,1.18,10.8355,17.95,9.24,3.77,4.95,235620000.0,0.83
1000,1000,25.0,5.6667,5.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1411.76,1,1411765.0,282.35,100.0,190.8,49.61,5.56,42.52,22.22,2.49,14.79,46.87,5.55,1.18,10.8355,17.61,9.02,3.65,4.95,235620000.0,0.81
1000,1200,24.1667,5.5,5.0,0.6667,1.0,1.0,1.0,1.0,0.8333,0.8333,4.8333,1454.55,1,1454545.0,290.91,100.0,188.85,47.64,6.12,42.52,21.42,2.75,14.79,46.87,5.55,1.18,10.8355,17.43,8.89,3.6,4.95,235620000.0,0.8
1000,1400,23.5714,5.381,5.0,0.6667,1.0,1.0,1.0,1.0,0.7143,0.7143,4.7143,1486.73,1,1486726.0,297.35,100.0,189.17,47.23,6.85,42.52,21.11,3.06,14.79,46.87,5.55,1.18,10.8355,17.46,8.92,3.6,4.95,235620000.0,0.8
1000,1600,23.125,5.2917,5.0,0.6667,1.0,1.0,1.0,1.0,0.625,0.625,4.625,1511.81,1,1511811.0,302.36,100.0,187.9,45.66,7.37,42.52,20.62,3.33,14.79,46.87,5.55,1.18,10.8355,17.34,8.82,3.58,4.95,235620000.0,0.8
1000,1800,22.7778,5.2222,5.0,0.6667,1.0,1.0,1.0,1.0,0.5556,0.5556,4.5556,1531.91,1,1531915.0,306.38,100.0,188.38,45.37,8.07,42.52,20.4,3.63,14.79,46.87,5.55,1.18,10.8355,17.39,8.86,3.58,4.95,235620000.0,0.8
1000,2000,22.5,5.1667,5.0,0.6667,1.0,1.0,1.0,1.0,0.5,0.5,4.5,1548.39,1,1548387.0,309.68,100.0,188.97,45.14,8.77,42.52,20.22,3.93,14.79,46.87,5.55,1.18,10.8355,17.44,8.9,3.59,4.95,235620000.0,0.8
1500,400,31.0,8.75,4.0,1.0,1.0,1.0,1.0,1.0,3.75,3.75,7.75,914.29,1,1371429.0,274.29,100.0,249.15,82.05,4.45,60.17,36.59,1.98,18.17,38.73,5.55,1.45,10.8355,22.99,13.54,5.24,4.22,235620000.0,1.06
1500,600,26.0,7.5,4.0,1.0,1.0,1.0,1.0,1.0,2.5,2.5,6.5,1066.67,1,1600000.0,320.0,100.0,231.04,71.24,4.73,57.94,32.2,2.14,17.15,38.73,5.55,1.37,10.8355,21.32,12.36,4.75,4.21,235620000.0,0.98
1500,800,23.5,6.875,4.0,1.0,1.0,1.0,1.0,1.0,1.875,1.875,5.875,1163.64,1,1745455.0,349.09,100.0,218.77,64.57,5.07,55.99,29.04,2.28,16.25,38.73,5.55,1.3,10.8355,20.19,11.59,4.39,4.21,235620000.0,0.93
1500,1000,22.0,6.5,4.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,5.5,1230.77,1,1846154.0,369.23,100.0,213.11,61.18,5.54,55.11,27.41,2.48,15.85,38.73,5.55,1.26,10.8355,19.67,11.24,4.22,4.2,235620000.0,0.9
1500,1200,21.0,6.25,4.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,5.25,1280.0,1,1920000.0,384.0,100.0,210.5,58.73,6.03,55.11,26.51,2.72,15.85,38.73,5.55,1.26,10.8355,19.43,11.06,4.16,4.2,235620000.0,0.89
1500,1400,20.2857,6.0714,4.0,1.0,1.0,1.0,1.0,1.0,1.0714,1.0714,5.0714,1317.65,1,1976471.0,395.29,100.0,208.86,58.0,6.66,54.28,25.95,2.98,15.47,38.73,5.55,1.23,10.8355,19.28,10.98,4.1,4.2,235620000.0,0.89
1500,1600,19.75,5.9375,4.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,4.9375,1347.37,1,2021053.0,404.21,100.0,206.79,55.9,7.09,54.28,25.31,3.21,15.47,38.73,5.55,1.23,10.8355,19.08,10.82,4.06,4.2,235620000.0,0.88
1500,1800,19.3333,5.8333,4.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.8333,4.8333,1371.43,1,2057143.0,411.43,100.0,205.67,55.43,7.71,53.51,24.95,3.47,15.12,38.73,5.55,1.21,10.8355,18.98,10.77,4.02,4.2,235620000.0,0.87
1500,2000,19.0,5.75,4.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,4.75,1391.3,1,2086957.0,417.39,100.0,206.02,55.12,8.33,53.51,24.72,3.74,15.12,38.73,5.55,1.21,10.8355,19.01,10.79,4.02,4.2,235620000.0,0.87
2000,400,27.0,10.3333,3.0,1.3333,1.0,1.0,1.0,1.0,5.0,5.0,9.0,774.19,1,1548387.0,309.68,100.0,259.07,90.76,4.49,64.14,40.56,2.01,19.99,29.97,5.55,1.59,10.8355,23.91,14.71,5.77,3.43,235620000.0,1.1
2000,600,22.0,8.6667,3.0,1.3333,1.0,1.0,1.0,1.0,3.3333,3.3333,7.3333,923.08,1,1846154.0,369.23,100.0,233.6,75.91,4.5,61.41,34.01,2.02,18.74,29.97,5.55,1.49,10.8355,21.56,13.09,5.05,3.42,235620000.0,0.99
2000,800,19.5,7.8333,3.0,1.3333,1.0,1.0,1.0,1.0,2.5,2.5,6.5,1021.28,1,2042553.0,408.51,100.0,222.5,69.08,4.77,60.17,31.19,2.15,18.17,29.97,5.55,1.45,10.8355,20.53,12.37,4.75,3.41,235620000.0,0.94
2000,1000,18.0,7.3333,3.0,1.3333,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1090.91,1,2181818.0,436.36,100.0,215.85,65.29,5.15,59.02,29.5,2.33,17.64,29.97,5.55,1.41,10.8355,19.92,11.95,4.57,3.41,235620000.0,0.92
2000,1200,17.0,7.0,3.0,1.3333,1.0,1.0,1.0,1.0,1.6667,1.6667,5.6667,1142.86,1,2285714.0,457.14,100.0,209.69,61.77,5.47,57.94,28.0,2.48,17.15,29.97,5.55,1.37,10.8355,19.35,11.55,4.4,3.4,235620000.0,0.89
2000,1400,16.2857,6.7619,3.0,1.3333,1.0,1.0,1.0,1.0,1.4286,1.4286,5.4286,1183.1,1,2366197.0,473.24,100.0,206.85,60.63,5.96,56.93,27.13,2.67,16.69,29.97,5.55,1.33,10.8355,19.09,11.4,4.29,3.4,235620000.0,0.88
2000,1600,15.75,6.5833,3.0,1.3333,1.0,1.0,1.0,1.0,1.25,1.25,5.25,1215.19,1,2430380.0,486.08,100.0,204.78,58.45,6.32,56.93,26.66,2.88,16.69,29.97,5.55,1.33,10.8355,18.9,11.23,4.27,3.4,235620000.0,0.87
2000,1800,15.3333,6.4444,3.0,1.3333,1.0,1.0,1.0,1.0,1.1111,1.1111,5.1111,1241.38,1,2482759.0,496.55,100.0,202.91,57.79,6.81,55.99,26.16,3.08,16.25,29.97,5.55,1.3,10.8355,18.73,11.13,4.2,3.4,235620000.0,0.86
2000,2000,15.0,6.3333,3.0,1.3333,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1263.16,1,2526316.0,505.26,100.0,202.3,57.08,7.28,55.99,25.62,3.27,16.25,29.97,5.55,1.3,10.8355,18.67,11.11,4.17,3.4,235620000.0,0.86
2500,400,20.5,11.9167,2.0,1.6667,1.0,1.0,1.0,1.0,6.25,6.25,10.25,671.33,1,1678322.0,335.66,100.0,235.64,82.65,3.84,62.73,37.63,1.75,19.35,20.59,5.55,1.54,10.8355,21.75,13.77,5.42,2.56,235620000.0,1.0
2500,600,16.3333,9.8333,2.0,1.6667,1.0,1.0,1.0,1.0,4.1667,4.1667,8.1667,813.56,1,2033898.0,406.78,100.0,212.06,69.09,3.78,60.17,31.52,1.73,18.17,20.59,5.55,1.45,10.8355,19.57,12.28,4.75,2.55,235620000.0,0.9
2500,800,14.25,8.7917,2.0,1.6667,1.0,1.0,1.0,1.0,3.125,3.125,7.125,909.95,1,2274882.0,454.98,100.0,199.82,63.1,3.98,57.94,28.36,1.79,17.15,20.59,5.55,1.37,10.8355,18.44,11.54,4.37,2.54,235620000.0,0.85
2500,1000,13.0,8.1667,2.0,1.6667,1.0,1.0,1.0,1.0,2.5,2.5,6.5,979.59,1,2448980.0,489.8,100.0,191.97,58.54,4.17,56.93,26.29,1.87,16.69,20.59,5.55,1.33,10.8355,17.72,11.04,4.14,2.54,235620000.0,0.81
2500,1200,12.1667,7.75,2.0,1.6667,1.0,1.0,1.0,1.0,2.0833,2.0833,6.0833,1032.26,1,2580645.0,516.13,100.0,186.43,55.2,4.39,55.99,25.16,2.0,16.25,20.59,5.55,1.3,10.8355,17.21,10.67,4.01,2.53,235620000.0,0.79
2500,1400,11.5714,7.4524,2.0,1.6667,1.0,1.0,1.0,1.0,1.7857,1.7857,5.7857,1073.48,1,2683706.0,536.74,100.0,184.86,54.72,4.81,55.11,24.79,2.18,15.85,20.59,5.55,1.26,10.8355,17.06,10.58,3.95,2.53,235620000.0,0.78
2500,1600,11.125,7.2292,2.0,1.6667,1.0,1.0,1.0,1.0,1.5625,1.5625,5.5625,1106.63,1,2766571.0,553.31,100.0,179.51,51.45,4.94,54.28,23.71,2.28,15.47,20.59,5.55,1.23,10.8355,16.57,10.21,3.83,2.53,235620000.0,0.76
2500,1800,10.7778,7.0556,2.0,1.6667,1.0,1.0,1.0,1.0,1.3889,1.3889,5.3889,1133.86,1,2834646.0,566.93,100.0,178.73,50.73,5.29,54.28,23.16,2.42,15.47,20.59,5.55,1.23,10.8355,16.49,10.18,3.79,2.53,235620000.0,0.76
2500,2000,10.5,6.9167,2.0,1.6667,1.0,1.0,1.0,1.0,1.25,1.25,5.25,1156.63,1,2891566.0,578.31,100.0,176.74,49.99,5.63,53.51,22.6,2.54,15.12,20.59,5.55,1.21,10.8355,16.31,10.07,3.72,2.52,235620000.0,0.75
3000,400,23.0,13.5,2.0,2.0,1.0,1.0,1.0,1.0,7.5,7.5,11.5,592.59,1,1777778.0,355.56,100.0,297.51,107.67,4.78,82.47,48.12,2.14,23.69,21.21,5.55,1.89,10.8355,27.46,17.99,6.82,2.64,235620000.0,1.26
3000,600,18.0,11.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,9.0,727.27,1,2181818.0,436.36,100.0,249.87,88.5,4.57,65.66,39.98,2.06,20.69,21.21,5.55,1.65,10.8355,23.06,14.65,5.79,2.62,235620000.0,1.06
3000,800,15.5,9.75,2.0,2.0,1.0,1.0,1.0,1.0,3.75,3.75,7.75,820.51,1,2461538.0,492.31,100.0,233.97,78.86,4.64,64.14,35.87,2.11,19.99,21.21,5.55,1.59,10.8355,21.59,13.63,5.35,2.62,235620000.0,0.99
3000,1000,14.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,888.89,1,2666667.0,533.33,100.0,223.04,72.82,4.81,62.73,32.87,2.17,19.35,21.21,5.55,1.54,10.8355,20.58,12.95,5.02,2.61,235620000.0,0.95
3000,1200,13.0,8.5,2.0,2.0,1.0,1.0,1.0,1.0,2.5,2.5,6.5,941.18,1,2823529.0,564.71,100.0,216.57,69.11,5.06,61.41,31.67,2.32,18.74,21.21,5.55,1.49,10.8355,19.99,12.51,4.87,2.61,235620000.0,0.92
3000,1400,12.2857,8.1429,2.0,2.0,1.0,1.0,1.0,1.0,2.1429,2.1429,6.1429,982.46,1,2947368.0,589.47,100.0,211.64,67.12,5.4,60.17,30.15,2.42,18.17,21.21,5.55,1.45,10.8355,19.53,12.25,4.68,2.6,235620000.0,0.9
3000,1600,11.75,7.875,2.0,2.0,1.0,1.0,1.0,1.0,1.875,1.875,5.875,1015.87,1,3047619.0,609.52,100.0,207.75,63.8,5.59,60.17,29.24,2.56,18.17,21.21,5.55,1.45,10.8355,19.17,11.96,4.61,2.6,235620000.0,0.88
3000,1800,11.3333,7.6667,2.0,2.0,1.0,1.0,1.0,1.0,1.6667,1.6667,5.6667,1043.48,1,3130435.0,626.09,100.0,204.63,62.74,5.95,59.02,28.43,2.7,17.64,21.21,5.55,1.41,10.8355,18.89,11.79,4.5,2.6,235620000.0,0.87
3000,2000,11.0,7.5,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,5.5,1066.67,1,3200000.0,640.0,100.0,205.29,62.74,6.4,59.02,28.43,2.9,17.64,21.21,5.55,1.41,10.8355,18.95,11.83,4.52,2.6,235620000.0,0.87
3500,400,25.5,15.0833,2.0,2.3333,1.0,1.0,1.0,1.0,8.75,8.75,12.75,530.39,1,1856354.0,371.27,100.0,364.28,134.5,5.76,102.72,60.79,2.6,28.26,21.84,5.55,2.25,10.8355,33.62,22.42,8.46,2.74,235620000.0,1.55
3500,600,19.6667,12.1667,2.0,2.3333,1.0,1.0,1.0,1.0,5.8333,5.8333,9.8333,657.53,1,2301370.0,460.27,100.0,304.65,109.5,5.39,84.42,48.99,2.41,24.58,21.84,5.55,1.96,10.8355,28.12,18.39,7.01,2.71,235620000.0,1.29
3500,800,16.75,10.7083,2.0,2.3333,1.0,1.0,1.0,1.0,4.375,4.375,8.375,747.08,1,2614786.0,522.96,100.0,280.66,97.67,5.44,79.86,43.6,2.43,22.49,21.84,5.55,1.79,10.8355,25.9,16.89,6.32,2.69,235620000.0,1.19
3500,1000,15.0,9.8333,2.0,2.3333,1.0,1.0,1.0,1.0,3.5,3.5,7.5,813.56,1,2847458.0,569.49,100.0,265.41,88.93,5.52,77.41,40.57,2.52,21.37,21.84,5.55,1.7,10.8355,24.49,15.86,5.95,2.68,235620000.0,1.13
3500,1200,13.8333,9.25,2.0,2.3333,1.0,1.0,1.0,1.0,2.9167,2.9167,6.9167,864.86,1,3027027.0,605.41,100.0,241.51,82.6,5.66,64.14,37.56,2.57,19.99,21.84,5.55,1.59,10.8355,22.29,14.07,5.55,2.67,235620000.0,1.03
