Shuttle_Size_cbm,Pump_Size_m3ph,Call_Duration_hr,Cycle_Duration_hr,Trips_per_Call,Shore_Loading_hr,Travel_Outbound_hr,Travel_Return_hr,Setup_Inbound_hr,Setup_Outbound_hr,Pumping_Per_Vessel_hr,Pumping_Total_hr,Basic_Cycle_Duration_hr,Annual_Cycles_Max,Vessels_per_Trip,Annual_Supply_m3,Ships_Per_Year,Time_Utilization_Ratio_percent,NPC_Total_USDm,NPC_Shuttle_CAPEX_USDm,NPC_Bunkering_CAPEX_USDm,NPC_Terminal_CAPEX_USDm,NPC_Shuttle_fOPEX_USDm,NPC_Bunkering_fOPEX_USDm,NPC_Terminal_fOPEX_USDm,NPC_Shuttle_vOPEX_USDm,NPC_Bunkering_vOPEX_USDm,NPC_Terminal_vOPEX_USDm,Annuity_Factor,Annualized_Cost_USDm_per_year,Annualized_CAPEX_USDm_per_year,Annualized_FixedOPEX_USDm_per_year,Annualized_VariableOPEX_USDm_per_year,Total_Supply_20yr_ton,LCOAmmonia_USD_per_ton
5000,400,20.84,24.1733,1,3.3333,1.67,1.67,1.0,1.0,12.5,12.5,20.84,330.94,1,1654716.0,330.94,100.0,366.11,209.83,8.36,0.0,93.55,3.73,0.0,39.55,11.1,0.0,10.594,34.56,20.6,9.18,4.78,235620000.0,1.55
5000,600,16.6733,20.0067,1,3.3333,1.67,1.67,1.0,1.0,8.3333,8.3333,16.6733,399.87,1,1999334.0,399.87,100.0,317.26,175.75,7.86,0.0,79.44,3.55,0.0,39.55,11.1,0.0,10.594,29.95,17.33,7.83,4.78,235620000.0,1.35
5000,800,14.59,17.9233,1,3.3333,1.67,1.67,1.0,1.0,6.25,6.25,14.59,446.35,1,2231728.0,446.35,100.0,290.51,157.93,7.84,0.0,70.59,3.5,0.0,39.55,11.1,0.0,10.594,27.42,15.65,6.99,4.78,235620000.0,1.23
5000,1000,13.34,16.6733,1,3.3333,1.67,1.67,1.0,1.0,5.0,5.0,13.34,479.81,1,2399040.0,479.81,100.0,273.11,145.27,7.93,0.0,65.69,3.58,0.0,39.55,11.1,0.0,10.594,25.78,14.46,6.54,4.78,235620000.0,1.16
5000,1200,12.5067,15.84,1,3.3333,1.67,1.67,1.0,1.0,4.1667,4.1667,12.5067,505.05,1,2525253.0,505.05,100.0,262.91,137.9,8.2,0.0,62.44,3.71,0.0,39.55,11.1,0.0,10.594,24.82,13.79,6.24,4.78,235620000.0,1.12
5000,1400,11.9114,15.2448,1,3.3333,1.67,1.67,1.0,1.0,3.5714,3.5714,11.9114,524.77,1,2623852.0,524.77,100.0,259.57,135.6,8.73,0.0,60.68,3.91,0.0,39.55,11.1,0.0,10.594,24.5,13.62,6.1,4.78,235620000.0,1.1
5000,1600,11.465,14.7983,1,3.3333,1.67,1.67,1.0,1.0,3.125,3.125,11.465,540.6,1,2703007.0,540.6,100.0,252.17,129.82,8.99,0.0,58.65,4.06,0.0,39.55,11.1,0.0,10.594,23.8,13.1,5.92,4.78,235620000.0,1.07
5000,1800,11.1178,14.4511,1,3.3333,1.67,1.67,1.0,1.0,2.7778,2.7778,11.1178,553.59,1,2767953.0,553.59,100.0,251.19,128.81,9.56,0.0,57.88,4.29,0.0,39.55,11.1,0.0,10.594,23.71,13.06,5.87,4.78,235620000.0,1.07
5000,2000,10.84,14.1733,1,3.3333,1.67,1.67,1.0,1.0,2.5,2.5,10.84,564.44,1,2822201.0,564.44,100.0,246.07,124.29,9.83,0.0,56.81,4.49,0.0,39.55,11.1,0.0,10.594,23.23,12.66,5.79,4.78,235620000.0,1.04
10000,400,36.34,43.0067,1,6.6667,1.67,1.67,1.0,1.0,12.5,25.0,36.34,186.02,2,1860177.0,372.04,100.0,509.05,315.56,11.31,0.0,140.84,5.05,0.0,25.21,11.1,0.0,10.594,48.05,30.85,13.77,3.43,235620000.0,2.16
10000,600,28.0067,34.6733,1,6.6667,1.67,1.67,1.0,1.0,8.3333,16.6667,28.0067,230.72,2,2307249.0,461.45,100.0,418.08,253.82,9.84,0.0,113.72,4.41,0.0,25.21,11.1,0.0,10.594,39.46,24.89,11.15,3.43,235620000.0,1.77
10000,800,23.84,30.5067,1,6.6667,1.67,1.67,1.0,1.0,6.25,12.5,23.84,262.24,2,2622378.0,524.48,100.0,380.18,228.06,9.51,0.0,102.06,4.25,0.0,25.21,11.1,0.0,10.594,35.89,22.42,10.04,3.43,235620000.0,1.61
10000,1000,21.34,28.0067,1,6.6667,1.67,1.67,1.0,1.0,5.0,10.0,21.34,285.65,2,2856463.0,571.29,100.0,349.84,206.52,9.21,0.0,93.63,4.18,0.0,25.21,11.1,0.0,10.594,33.02,20.36,9.23,3.43,235620000.0,1.48
10000,1200,19.6733,26.34,1,6.6667,1.67,1.67,1.0,1.0,4.1667,8.3333,19.6733,303.72,2,3037206.0,607.44,100.0,334.41,195.42,9.29,0.0,89.16,4.24,0.0,25.21,11.1,0.0,10.594,31.57,19.32,8.82,3.43,235620000.0,1.42
10000,1400,18.4829,25.1495,1,6.6667,1.67,1.67,1.0,1.0,3.5714,7.1429,18.4829,318.1,2,3180975.0,636.19,100.0,325.79,190.33,9.6,0.0,85.26,4.3,0.0,25.21,11.1,0.0,10.594,30.75,18.87,8.45,3.43,235620000.0,1.38
10000,1600,17.59,24.2567,1,6.6667,1.67,1.67,1.0,1.0,3.125,6.25,17.59,329.81,2,3298062.0,659.61,100.0,313.44,180.97,9.66,0.0,82.13,4.38,0.0,25.21,11.1,0.0,10.594,29.59,17.99,8.17,3.43,235620000.0,1.33
10000,1800,16.8956,23.5622,1,6.6667,1.67,1.67,1.0,1.0,2.7778,5.5556,16.8956,339.53,2,3395265.0,679.05,100.0,309.55,178.47,10.04,0.0,80.22,4.51,0.0,25.21,11.1,0.0,10.594,29.22,17.79,8.0,3.43,235620000.0,1.31
10000,2000,16.34,23.0067,1,6.6667,1.67,1.67,1.0,1.0,2.5,5.0,16.34,347.73,2,3477253.0,695.45,100.0,300.62,171.02,10.12,0.0,78.53,4.65,0.0,25.21,11.1,0.0,10.594,28.38,17.1,7.85,3.43,235620000.0,1.28
15000,400,51.84,61.84,1,10.0,1.67,1.67,1.0,1.0,12.5,37.5,51.84,129.37,3,1940492.0,388.1,100.0,644.7,410.62,14.09,0.0,183.27,6.29,0.0,19.34,11.1,0.0,10.594,60.85,40.09,17.89,2.87,235620000.0,2.74
15000,600,39.34,49.34,1,10.0,1.67,1.67,1.0,1.0,8.3333,25.0,39.34,162.14,3,2432104.0,486.42,100.0,522.61,327.73,11.95,0.0,147.12,5.36,0.0,19.34,11.1,0.0,10.594,49.33,32.06,14.39,2.87,235620000.0,2.22
15000,800,33.09,43.09,1,10.0,1.67,1.67,1.0,1.0,6.25,18.75,33.09,185.66,3,2784869.0,556.97,100.0,468.95,291.73,11.27,0.0,130.48,5.04,0.0,19.34,11.1,0.0,10.594,44.27,28.6,12.79,2.87,235620000.0,1.99
15000,1000,29.34,39.34,1,10.0,1.67,1.67,1.0,1.0,5.0,15.0,29.34,203.36,3,3050330.0,610.07,100.0,431.89,264.88,10.8,0.0,120.84,4.93,0.0,19.34,11.1,0.0,10.594,40.77,26.02,11.87,2.87,235620000.0,1.83
15000,1200,26.84,36.84,1,10.0,1.67,1.67,1.0,1.0,4.1667,12.5,26.84,217.16,3,3257329.0,651.47,100.0,403.72,246.04,10.56,0.0,111.88,4.8,0.0,19.34,11.1,0.0,10.594,38.11,24.22,11.01,2.87,235620000.0,1.71
15000,1400,25.0543,35.0543,1,10.0,1.67,1.67,1.0,1.0,3.5714,10.7143,25.0543,228.22,3,3423262.0,684.65,100.0,394.34,240.53,10.84,0.0,107.68,4.85,0.0,19.34,11.1,0.0,10.594,37.22,23.73,10.62,2.87,235620000.0,1.67
