Shuttle_Size_cbm,Pump_Size_m3ph,Call_Duration_hr,Cycle_Duration_hr,Trips_per_Call,Shore_Loading_hr,Travel_Outbound_hr,Travel_Return_hr,Setup_Inbound_hr,Setup_Outbound_hr,Pumping_Per_Vessel_hr,Pumping_Total_hr,Basic_Cycle_Duration_hr,Annual_Cycles_Max,Vessels_per_Trip,Annual_Supply_m3,Ships_Per_Year,Time_Utilization_Ratio_percent,NPC_Total_USDm,NPC_Shuttle_CAPEX_USDm,NPC_Bunkering_CAPEX_USDm,NPC_Terminal_CAPEX_USDm,NPC_Shuttle_fOPEX_USDm,NPC_Bunkering_fOPEX_USDm,NPC_Terminal_fOPEX_USDm,NPC_Shuttle_vOPEX_USDm,NPC_Bunkering_vOPEX_USDm,NPC_Terminal_vOPEX_USDm,Annuity_Factor,Annualized_Cost_USDm_per_year,Annualized_CAPEX_USDm_per_year,Annualized_FixedOPEX_USDm_per_year,Annualized_VariableOPEX_USDm_per_year,Total_Supply_20yr_ton,LCOAmmonia_USD_per_ton
5000,400,28.96,32.2933,1,3.3333,5.73,5.73,1.0,1.0,12.5,12.5,28.96,247.73,1,1238646.0,247.73,100.0,564.49,277.72,11.06,0.0,123.96,4.94,0.0,135.71,11.1,0.0,10.594,53.28,27.26,12.17,13.86,235620000.0,2.4
5000,600,24.7933,28.1267,1,3.3333,5.73,5.73,1.0,1.0,8.3333,8.3333,24.7933,284.43,1,1422138.0,284.43,100.0,513.52,242.24,10.84,0.0,108.77,4.87,0.0,135.71,11.1,0.0,10.594,48.47,23.89,10.73,13.86,235620000.0,2.18
5000,800,22.71,26.0433,1,3.3333,5.73,5.73,1.0,1.0,6.25,6.25,22.71,307.18,1,1535902.0,307.18,100.0,489.52,225.64,11.2,0.0,100.86,5.01,0.0,135.71,11.1,0.0,10.594,46.21,22.36,9.99,13.86,235620000.0,2.08
5000,1000,21.46,24.7933,1,3.3333,5.73,5.73,1.0,1.0,5.0,5.0,21.46,322.67,1,1613337.0,322.67,100.0,473.65,213.55,11.65,0.0,96.39,5.26,0.0,135.71,11.1,0.0,10.594,44.71,21.26,9.59,13.86,235620000.0,2.01
5000,1200,20.6267,23.96,1,3.3333,5.73,5.73,1.0,1.0,4.1667,4.1667,20.6267,333.89,1,1669449.0,333.89,100.0,462.89,205.62,12.23,0.0,92.72,5.51,0.0,135.71,11.1,0.0,10.594,43.69,20.56,9.27,13.86,235620000.0,1.96
5000,1400,20.0314,23.3648,1,3.3333,5.73,5.73,1.0,1.0,3.5714,3.5714,20.0314,342.4,1,1711980.0,342.4,100.0,458.35,202.42,13.03,0.0,90.27,5.81,0.0,135.71,11.1,0.0,10.594,43.26,20.34,9.07,13.86,235620000.0,1.95
5000,1600,19.585,22.9183,1,3.3333,5.73,5.73,1.0,1.0,3.125,3.125,19.585,349.07,1,1745328.0,349.07,100.0,453.18,197.57,13.69,0.0,88.95,6.16,0.0,135.71,11.1,0.0,10.594,42.78,19.94,8.98,13.86,235620000.0,1.92
5000,1800,19.2378,22.5711,1,3.3333,5.73,5.73,1.0,1.0,2.7778,2.7778,19.2378,354.44,1,1772177.0,354.44,100.0,450.83,195.58,14.51,0.0,87.43,6.49,0.0,135.71,11.1,0.0,10.594,42.56,19.83,8.87,13.86,235620000.0,1.91
5000,2000,18.96,22.2933,1,3.3333,5.73,5.73,1.0,1.0,2.5,2.5,18.96,358.85,1,1794258.0,358.85,100.0,450.53,194.7,15.4,0.0,86.76,6.86,0.0,135.71,11.1,0.0,10.594,42.53,19.83,8.84,13.86,235620000.0,1.91
10000,400,44.46,51.1267,1,6.6667,5.73,5.73,1.0,1.0,12.5,25.0,44.46,156.47,2,1564741.0,312.95,100.0,652.81,369.79,13.25,0.0,166.23,5.96,0.0,86.48,11.1,0.0,10.594,61.62,36.16,16.25,9.21,235620000.0,2.77
