Parameter,Value,Unit
Case,Case 2-2: Ulsan → Busan,
Case_ID,case_2_ulsan,
Simulation_Year,2030,
Shuttle_Size_cbm,10000,m³
Pump_Size_m3ph,1000,m³/h
,,
=== SINGLE ROUND-TRIP BREAKDOWN ===,,
Shore_Loading_Hours,6.666666666666667,hours
Travel_Outbound_Hours,1.67,hours
Port_Entry_Hours,1.0,hours
Setup_Inbound_Hours,1.0,hours
Pumping_Per_Vessel_Hours,5.0,hours
Setup_Outbound_Hours,1.0,hours
Travel_Return_Hours,1.67,hours
Port_Exit_Hours,1.0,hours
Total_Cycle_Duration_Hours,28.00666666666667,hours
Annual_Cycles_Max_Per_Shuttle,285.64627469650077,cycles
,,
=== ANNUAL OPERATION PARAMETERS ===,,
Vessels_in_Year,50,vessels
Annual_Demand_m3,3000000.0,m³
Bunker_per_Call_m3,5000.0,m³
Required_Annual_Calls,600.0,calls
,,
=== FLEET REQUIREMENTS ===,,
Annual_Bunkering_Calls,600.0,calls
Trips_Per_Call_or_Vessels_Per_Trip,2,trips/call or vessels/trip
Total_Shuttle_Trips,300,trips
Total_Hours_Needed,8402.000000000002,hours
Annual_Hours_Max_Per_Shuttle,8000.0,hours/vessel
Required_Shuttles,2,vessels
Available_Hours_Total,16000.0,hours
Utilization_Rate,0.5251250000000001,%
Annual_Cycles_Per_Shuttle,150.0,trips
,,
=== COST BREAKDOWN ===,,
CAPEX_Shuttle_USDm,43.487067042972676,$M
CAPEX_Bunkering_USDm,1.939532646209815,$M
CAPEX_Tank_USDm,0.0,$M
CAPEX_Total_USDm,45.42659968918249,$M
,,
OPEX_Fixed_USDm,2.2713299844591246,$M/year
OPEX_Variable_USDm,0.6002242274857142,$M/year
OPEX_Total_USDm,2.871554211944839,$M/year
,,
First_Year_Cost_USDm,48.29815390112733,$M
